name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
Chuột Bluetooth Gaming ASUS ROG Gladius III,2.590.000₫,2.485.000₫,empty,23:00 | 30/11,Chuột máy tính,Asus,,https://www.thegioididong.com/chuot-may-tinh/chuot-bluetooth-gaming-asus-rog-gladius-iii
Chuột Không dây Gaming ASUS ROG Keris Aimpoint,2.690.000₫,2.500.000₫,-7%,23:00 | 30/11,Chuột máy tính,Asus,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-gaming-asus-rog-keris-aimpoint
Chuột Gaming ASUS ROG Strix Impact III,890.000₫,790.000₫,-11%,23:00 | 30/11,Chuột máy tính,Asus,,https://www.thegioididong.com/chuot-may-tinh/chuot-gaming-asus-rog-strix-impact-iii
Chuột Gaming ASUS ROG Gladius II Core,860.000₫,790.000₫,-8%,23:00 | 30/11,Chuột máy tính,Asus,,https://www.thegioididong.com/chuot-may-tinh/chuot-gaming-asus-rog-gladius-ii-core
Chuột không dây Rapoo Gaming V20W,990.000₫,890.000₫,-10%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-rapoo-gaming-v20w
Chuột Bluetooth Silent DareU LM166D,400.000₫,320.000₫,-20%,23:00 | 30/11,Chuột máy tính,DareU,,https://www.thegioididong.com/chuot-may-tinh/chuot-bluetooth-silent-dareu-lm166d
Chuột Có Dây Gaming Rapoo V25S,450.000₫,375.000₫,-16%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-co-day-gaming-rapoo-v25s
Chuột Không dây Bluetooth Silent Rapoo M650 Lucky Cat,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-rapoo-m650-lucky-cat
Chuột Không dây Silent A4Tech G3-280NS,200.000₫,170.000₫,-15%,23:00 | 30/11,Chuột máy tính,A4Tech,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-silent-a4tech-g3-280ns
Chuột Không dây Bluetooth Silent Rapoo M650 Hà Lan,400.000₫,280.000₫,-30%,23:00 | 30/11,Chuột máy tính,Rapoo,,https://www.thegioididong.com/chuot-may-tinh/chuot-khong-day-bluetooth-silent-rapoo-m650-ha-lan
