Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/1TB/Win11 (83ER000FVN),16.490.000₫,15.990.000₫ *,empty,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er000fvn
Laptop HP 245 G10 R5 7520U/8GB/512GB/Win11 (8F155PA),14.190.000₫,12.490.000₫ *,-11%,23:00 | 06/11,Laptop,HP,245,https://www.thegioididong.com/laptop/hp-245-g10-r5-8f155pa
Laptop Acer Aspire 3 A315 57 379K i3 1005G1/4GB/256GB/Win11 (NX.KAGSV.001),8.490.000₫,7.990.000₫ *,-5%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-57-379k-i3-nxkagsv001
Laptop Lenovo Legion 5 15IAH7 i5 12500H/8GB/512GB/4GB RTX3050Ti/165Hz/Win11 (82RC003WVN),35.490.000₫,31.590.000₫ *,-10%,23:00 | 06/11,Laptop,Lenovo,Legion,https://www.thegioididong.com/laptop/lenovo-legion-5-15iah7-i5-82rc003wvn
Laptop HP Pavilion X360 14 ek1049TU i5 1335U/16GB/512GB/Touch/Pen/Win11 (80R27PA),24.290.000₫,22.690.000₫ *,-6%,23:00 | 06/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa
Laptop Dell Vostro 3430 i5 1335U/8GB/512GB/OfficeHS/Win11 (71011900),18.490.000₫,17.990.000₫,empty,23:00 | 06/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-3430-i5-71011900
Laptop Acer Aspire 7 Gaming A715 43G R8GA R5 5625U/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QHDSV.002),21.990.000₫,17.490.000₫ *,-20%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-43g-r8ga-r5-nhqhdsv002
Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U/8GB/256GB/Win11 (82VG0061VN),12.690.000₫,9.490.000₫ *,-25%,hơn dự kiến,Laptop,Lenovo,IdeaPad,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn
Laptop Asus VivoBook X515MA N4020/4GB/256GB/Win11 (BR480W),7.890.000₫,6.490.000₫,-17%,23:00 | 06/11,Laptop,Asus,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-x515ma-n4020-br480w
Laptop Dell Inspiron 16 5620 i5 1235U/8GB/256GB/OfficeHS/Win11 (P1WKN),19.790.000₫,16.990.000₫,-14%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i5-p1wkn
Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),19.990.000₫,16.990.000₫ *,-15%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w
Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U/16GB/512GB/Win11 (82XS002KVN),17.990.000₫,14.990.000₫ *,-16%,23:00 | 06/11,Laptop,Lenovo,IdeaPad,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-light-14abr8-r5-82xs002kvn
Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),15.490.000₫,14.190.000₫ *,-8%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007
Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/512GB/Win11 (82RK001MVN),14.690.000₫,9.690.000₫ *,-34%,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk001mvn
Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/256GB/10-core GPU (MNEH3SA/A),30.490.000₫,29.890.000₫,empty,23:00 | 06/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/apple-macbook-pro-13-inch-m2-2022
Laptop Dell Inspiron 16 5620 i7 1255U/8GB/512GB/OfficeHS/Win11 (N6I7110W1),25.190.000₫,22.990.000₫,-8%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i7-n6i7110w1
Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),22.990.000₫,19.490.000₫ *,-15%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w
Laptop Lenovo Ideapad Gaming 3 15ACH6 R5 5500H/16GB/512GB/4GB RTX2050/144Hz/Win11 (82K2027PVN),18.990.000₫,16.990.000₫ *,-10%,hơn dự kiến,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15ach6-r5-82k2027pvn
Laptop Lenovo Ideapad 5 14IAL7 i5 1235U/8GB/512GB/Win11 (82SD0060VN),18.990.000₫,13.990.000₫ *,-26%,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14ial7-i5-82sd0060vn
Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),15.990.000₫,13.490.000₫ *,-15%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b
Laptop Acer Aspire 3 A314 35 P3G9 N6000/4GB/256GB/Win11 (NX.A7SSV.007),7.990.000₫,6.990.000₫ *,-12%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a314-35-p3g9-n6000-nxa7ssv007
Laptop Asus Vivobook 15 OLED A1505VA i7 13700H/16GB/512GB/Win11 (L1338W),24.490.000₫,21.490.000₫ *,-12%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i7-l1338w
Laptop HP Pavilion X360 14 ek1048TU i5 1335U/8GB/512GB/Touch/Pen/Win11 (80R26PA),22.890.000₫,21.290.000₫ *,-6%,23:00 | 06/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1048tu-i5-80r26pa
Laptop Dell Inspiron 15 3520 i7 1255U/8GB/512GB/120Hz/OfficeHS/Win11 (71003262),20.990.000₫,19.690.000₫,-6%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-71003262
Laptop HP Gaming VICTUS 16 e1106AX R5 6600H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (7C0T1PA),26.490.000₫,18.690.000₫ *,-29%,23:00 | 06/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-victus-16-e1106ax-r5-7c0t1pa
Laptop Dell Vostro 5620 i5 1240P/8GB/256GB/OfficeHS/Win11 (V6I5001W1),20.190.000₫,17.490.000₫,-13%,23:00 | 06/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-5620-i5-v6i5001w1
Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/8GB/512GB/Win11 (L1052W),20.490.000₫,16.990.000₫ *,-17%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505va-i5-l1052w
Laptop Acer TravelMate P4 TMP414 51G 59R6 i5 1135G7/16GB/512GB/2GB MX350/Win11 (NX.VP9SV.001),25.990.000₫,14.990.000₫ *,-42%,23:00 | 06/11,Laptop,Acer,TravelMate,https://www.thegioididong.com/laptop/acer-travelmate-p4-tmp414-51g-59r6-i5-nxvp9sv001
Laptop HP Pavilion 15 eg2086TU i3 1215U/8GB/256GB/Win11 (7C0Q8PA),15.290.000₫,12.990.000₫ *,-15%,23:00 | 06/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa
Laptop Acer Aspire 3 A315 59 38PG i3 1215U/8GB/512GB/Win11 (NX.K6TSV.00A),13.990.000₫,10.690.000₫ *,-23%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-38pg-i3-nxk6tsv00a
Laptop Lenovo V14 G3 ABA R5 5625U/8GB/512GB/Win11 (82TU006SVN),13.190.000₫,9.990.000₫ *,-24%,23:00 | 06/11,Laptop,Lenovo,V14,https://www.thegioididong.com/laptop/lenovo-v14-g3-aba-r5-82tu006svn
Laptop Acer Aspire 3 A315 58 35AG i3 1115G4/4GB/256GB/Win11 (NX.ADDSV.00B),11.290.000₫,8.990.000₫ *,-20%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-a315-58-35ag-i3-nxaddsv00b
Laptop Lenovo LOQ Gaming 15IRH8 i5 13420H/16GB/512GB/6GB RTX4050/144Hz/Win11 (82XV00Q4VN),28.990.000₫,27.990.000₫ *,empty,23:00 | 06/11,Laptop,Lenovo,LOQ,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15irh8-i5-82xv00q4vn
Laptop HP Envy X360 13 bf0090TU i7 1250U/16GB/512GB/Touch/Pen/Win11 (76B13PA),32.990.000₫,25.890.000₫ *,-21%,23:00 | 06/11,Laptop,HP,Envy,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0090tu-i7-76b13pa
Laptop Asus Vivobook S 14 Flip TP3402VA i5 13500H/16GB/512GB/Touch/Win11 (LZ031W),21.990.000₫,19.790.000₫ *,-10%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-s-14-flip-tp3402va-i5-lz031w
Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (HN074W),23.990.000₫,19.490.000₫ *,-18%,23:00 | 06/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507zc4-i5-hn074w
Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/2GB MX550/120Hz/OfficeHS/Win11 (70296960),19.790.000₫,18.990.000₫,empty,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-70296960
Laptop Acer Aspire 7 Gaming A715 76G 59MW i5 12450H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QMYSV.001),21.490.000₫,18.990.000₫ *,-11%,hơn dự kiến,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-59mw-i5-nhqmysv001
Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/1TB/Win11 (82RK00X0VN),18.990.000₫,17.990.000₫ *,-5%,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i7-82rk00x0vn
Laptop Acer Aspire 3 A314 36M 391A i3 N305/8GB/512GB/Win11 (NX.KDMSV.002),11.790.000₫,9.990.000₫ *,-15%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a314-36m-391a-i3-nxkdmsv002
Laptop Apple MacBook Air 15 inch M2 2023 8-core CPU/8GB/256GB/10-core GPU (MQKW3SA/A),32.290.000₫,31.490.000₫,empty,23:00 | 06/11,Laptop,MacBook,Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023
Laptop Lenovo LOQ Gaming 15IRH8 i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (82XV00QXVN),31.990.000₫,30.990.000₫ *,empty,hơn dự kiến,Laptop,Lenovo,LOQ,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15irh8-i7-82xv00qxvn
Laptop Dell Inspiron 15 3530 i7 1355U/8GB/512GB/120Hz/OfficeHS/Win11 (71011775),21.990.000₫,20.990.000₫,empty,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-71011775
Laptop HP Gaming VICTUS 16 e1105AX R5 6600H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (7C0T0PA),27.990.000₫,19.490.000₫ *,-30%,23:00 | 06/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-victus-16-e1105ax-r5-7c0t0pa
Laptop Lenovo Ideapad 3 15IAU7 i5 1235U/8GB/512GB/Win11 (82RK001PVN),17.990.000₫,12.990.000₫ *,-27%,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i5-82rk001pvn
Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),13.090.000₫,11.490.000₫ *,-12%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003
Laptop Lenovo Yoga 7 14IRL8 i7 1360P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006BVN),28.990.000₫,27.990.000₫ *,empty,23:00 | 06/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-7-14irl8-i7-82yl006bvn
Laptop Dell Inspiron 14 T7430 i5 1335U/8GB/512GB/Touch/Pen/OfficeHS/Win11 (N7430I58W1),24.190.000₫,23.290.000₫,empty,hơn dự kiến,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-7430-i5-n7430i58w1
Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/2GB MX550/120Hz/OfficeHS/Win11 (71014840),20.990.000₫,20.490.000₫,empty,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71014840
name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),65.390.000₫,54.490.000₫ *,-16%,23:00 | 30/11,Laptop,HP,Envy,https://www.thegioididong.com/laptop/hp-envy-16-h0205tx-i9-7c0t2pa
Laptop Asus Gaming ROG Strix G16 G614JI i7 13650HX/16GB/1TB/8GB RTX4070/240Hz/Balo/Win11 (N4084W),60.990.000₫,53.990.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ji-i7-n4084w
Laptop HP Omen 16 n0085AX R9 6900HX/32GB/1TB SSD/8GB RTX3070Ti/165Hz/Win11 (7C144PA),62.890.000₫,52.190.000₫ *,-17%,23:00 | 30/11,Laptop,HP,Omen,https://www.thegioididong.com/laptop/hp-omen-16-n0085ax-r9-7c144pa
Laptop Dell XPS 13 Plus 9320 i5 1340P/16GB/512GB/Touch/Cáp/OfficeHS/Win11 (71013325),54.990.000₫,51.490.000₫,-6%,23:00 | 30/11,Laptop,Dell,XPS,https://www.thegioididong.com/laptop/dell-xps-13-plus-9320-i5-71013325
Laptop Asus Gaming ROG Strix G16 G614JV i9 13980HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (N4261W),52.990.000₫,47.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-rog-strix-g16-g614jv-i9-n4261w
Laptop Asus Gaming ROG Strix SCAR 15 G533ZW i9 12900H/32GB/1TB/8GB RTX3070Ti/240Hz/Balo/Chuột/Win11 (LN134W),69.990.000₫,50.990.000₫ *,-27%,hơn dự kiến,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-scar-15-g533zw-i9-ln134w
Laptop Asus ExpertBook B9 OLED B9403CVA i7 1355U/16GB/1TB/Cáp/Túi/Win11 Pro (KM0157X),49.990.000₫,46.490.000₫ *,-7%,23:00 | 30/11,Laptop,Asus,ExpertBook,https://www.thegioididong.com/laptop/asus-expertbook-b9-oled-b9403cva-i7-km0157x
Laptop Lenovo Gaming Legion 5 16IRH8 i7 13700H/16GB/1TB/8GB RTX4060/165Hz/Win11 (82YA00DTVN),44.990.000₫,43.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Gaming,https://www.thegioididong.com/laptop/lenovo-gaming-legion-5-16irh8-i7-82ya00dtvn
Laptop Lenovo Thinkpad P16s Gen 1 i7 1260P/16GB/512GB/4GB QuadroT550/Win11 Pro (21BT0064VN),44.490.000₫,43.490.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Thinkpad,https://www.thegioididong.com/laptop/lenovo-thinkpad-p16s-gen-1-i7-21bt0064vn
Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),46.990.000₫,42.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-pro-16-oled-k6602vv-i9-mx077w
Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),52.590.000₫,41.990.000₫ *,-20%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-dragonfly-g3-i7-6z980pa
Laptop HP Omen 16 n0087AX R7 6800H/16GB/1TB SSD/6GB RTX3060/165Hz/Win11 (7C0T7PA),50.890.000₫,41.290.000₫ *,-18%,23:00 | 30/11,Laptop,HP,Omen,https://www.thegioididong.com/laptop/hp-omen-16-n0087ax-r7-7c0t7pa
Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/32GB/1TB/Túi/Win11 (NQ126W),44.990.000₫,40.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq126w
Laptop Dell Gaming G15 5530 i7 13650HX/16GB/512GB/8GB RTX4060/165Hz/OfficeHS/Win11 (i7H165W11GR4060),40.990.000₫,39.990.000₫,empty,23:00 | 30/11,Laptop,Dell,Gaming,https://www.thegioididong.com/laptop/dell-gaming-g15-5530-i7-i7h165w11gr4060
Laptop Asus TUF Gaming A15 FA507XI R9 7940HS/8GB/512GB/8GB RTX4070/144Hz/Win11 (LP420W),45.490.000₫,39.990.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507xi-r9-lp420w
Laptop HP Elitebook X360 1040 G9 i7 1255U/16GB/512GB/Touch/Pen/Win11 Pro (6Z982PA),49.990.000₫,39.490.000₫ *,-21%,23:00 | 30/11,Laptop,HP,Elitebook,https://www.thegioididong.com/laptop/hp-elitebook-x360-1040-g9-i7-6z982pa
Laptop Asus Gaming ROG Zephyrus G16 GU603VU i7 13620H/16GB/512GB/6GB RTX4050/165Hz/Win11 (N3898W),44.990.000₫,39.990.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g16-gu603vu-i7-n3898w
Laptop Asus Gaming ROG Zephyrus G14 GA402NJ R7 7735HS/16GB/512GB/6GB RTX3050/144Hz/Túi/Win11 (L4056W),42.990.000₫,38.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-zephyrus-g14-ga402nj-r7-l4056w
Laptop Asus Vivobook Pro 15 OLED K6502VU i9 13900H/16GB/512GB/6GB RTX4050/Win11 (MA090W),40.990.000₫,36.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-pro-15-oled-k6502vu-i9-ma090w
Laptop Lenovo Gaming Legion 5 16IRH8 i5 13500H/16GB/512GB/6GB RTX4050/165Hz/Win11 (82YA00BSVN),36.990.000₫,35.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Gaming,https://www.thegioididong.com/laptop/lenovo-legion-5-16irh8-i5-82ya00bsvn
Laptop Lenovo Yoga Duet 7 13ITL6 i7 1165G7/16GB/1TB/Touch/Pen/Win11 (82MA009PVN),36.490.000₫,35.490.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i7-82ma009pvn
Laptop Asus Zenbook S 13 OLED UX5304VA i7 1355U/16GB/512GB/Túi/Win11 (NQ125W),39.990.000₫,35.990.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-s-13-oled-ux5304va-i7-nq125w
Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/512GB/10-core GPU (MNEJ3SA/A),35.390.000₫,34.190.000₫,empty,23:00 | 30/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/apple-macbook-pro-m2-2022
Laptop Asus Gaming ROG Strix G16 G614JU i5 13450HX/8GB/512GB/6GB RTX4050/165Hz/Win11 (N3135W),37.990.000₫,33.990.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i5-n3135w
Laptop Asus Gaming TUF Dash F15 FX517ZR i7 12650H/8GB/512GB/8GB RTX3070/144Hz/Win11 (HN086W),35.990.000₫,31.490.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,Gaming,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx517z-i7-hn086w
Laptop Dell Inspiron 14 5430 i7 1360P/16GB/1TB/4GB RTX2050/120Hz/OfficeHS/Win11 (71015633),32.490.000₫,30.990.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-5430-i7-71015633
Laptop Lenovo Yoga 7 14IAL7 i5 1240P/16GB/512GB/Touch/Pen/Win11 (82QE000RVN),30.990.000₫,29.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-7-14ial7-i5-82qe000rvn
Laptop Asus TUF Gaming A15 FA507NV R7 7735HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP031W),34.990.000₫,29.490.000₫ *,-15%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa507nv-r7-lp031w
Laptop Asus TUF Gaming F15 FX507ZM i7 12700H/16GB/512GB/6GB RTX3060/144Hz/Win11 (HN123W),32.990.000₫,28.690.000₫ *,-13%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-fx507z-i7-hn123w
Laptop Dell Inspiron 14 7430 2-in-1 i7 1355U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (i7U165W11SLU),29.490.000₫,28.490.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-7430-2-in-1-i7-i7u165w11slu
Laptop Asus Zenbook 14 OLED UX3402VA i7 1360P/16GB/512GB/Cáp/Túi/Win11 (KM068W),31.990.000₫,28.490.000₫ *,-10%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i7-km068w
Laptop Dell Inspiron 14 5430 i5 1340P/16GB/512GB/4GB RTX2050/120Hz/OfficeHS/Win11 (N5430-i5P165W11SL2050),29.790.000₫,28.490.000₫,empty,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-14-5430-i5-i5p165w11sl2050
Laptop HP Gaming VICTUS 16 s0077AX R7 7840HS/16GB/512GB/144Hz/6GB RTX3050/Win11 (8C5N6PA),31.690.000₫,28.390.000₫ *,-10%,23:00 | 30/11,Laptop,HP,Gaming,https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa
Laptop Acer Nitro 5 Tiger AN515 58 773Y i7 12700H/8GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001),31.990.000₫,27.490.000₫ *,-14%,23:00 | 30/11,Laptop,Acer,Nitro,https://www.thegioididong.com/laptop/acer-nitro-5-tiger-an515-58-773y-i7-nhqfksv001
Laptop Lenovo Yoga Duet 7 13ITL6 i5 1135G7/8GB/512GB/Touch/Pen/Win11 (82MA009NVN),28.490.000₫,27.490.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-duet-7-13itl6-i5-82ma009nvn
Laptop Lenovo ThinkPad E16 Gen 1 i7 1360P/16GB/512GB/Win11 (21JN006UVN),27.890.000₫,26.890.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkPad,https://www.thegioididong.com/laptop/lenovo-thinkpad-e16-gen-1-i7-21jn006uvn
Laptop Lenovo ThinkPad E15 Gen 4 i7 1260P/16GB/512GB/Win11 (21E600CPVN),28.690.000₫,26.690.000₫,-6%,23:00 | 30/11,Laptop,Lenovo,ThinkPad,https://www.thegioididong.com/laptop/lenovo-thinkpad-e15-gen-4-i7-21e600cpvn
Laptop HP Pavilion X360 14 ek1047TU i7 1355U/16GB/512GB/Touch/Pen/Win11 (80R25PA),27.590.000₫,26.190.000₫ *,-5%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1047tu-i7-80r25pa
Laptop Lenovo ThinkPad E14 Gen 5 i7 1355U/16GB/512GB/Win11 (21JK007XVN),27.190.000₫,26.190.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkPad,https://www.thegioididong.com/laptop/lenovo-thinkpad-e14-gen-5-i7-21jk007xvn
Laptop Asus Zenbook 14 Flip OLED UP3404VA i5 1340P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN038W),29.990.000₫,26.490.000₫ *,-11%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-flip-oled-up3404va-i5-kn038w
"Laptop Lenovo ThinkBook 15 G5 IRL i7 1355U/16GB/512GB/15.6""F/Win11 (21JD002AVN)",25.990.000₫,24.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,ThinkBook,https://www.thegioididong.com/laptop/lenovo-thinkbook-15-g5-irl-i7-121jd002avn
Laptop Lenovo Yoga 7 14IRL8 i5 1340P/16GB/512GB/Touch/Pen/OfficeHS/Win11 (82YL006AVN),25.990.000₫,24.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Yoga,https://www.thegioididong.com/laptop/lenovo-yoga-7-14irl8-i5-82yl006avn
Laptop HP Probook 450 G10 i7 1355U/16GB/512GB/Win11 (873D3PA),26.990.000₫,24.990.000₫ *,-7%,23:00 | 30/11,Laptop,HP,Probook,https://www.thegioididong.com/laptop/hp-probook-450-g10-i7-873d3pa
Laptop HP Pavilion 15 eg3035TX i7 1355U/16GB/512GB/2GB MX550/Win11 (8U6L7PA),26.590.000₫,24.990.000₫ *,-6%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3035tx-i7-8u6l7pa
Laptop Asus Zenbook 14 OLED UX3402VA i5 1340P/16GB/512GB/Cáp/Túi/Win11 (KM085W),27.990.000₫,24.490.000₫ *,-12%,23:00 | 30/11,Laptop,Asus,Zenbook,https://www.thegioididong.com/laptop/asus-zenbook-14-oled-ux3402va-i5-km085w
